num_workers,straggler_threshold,straggler_delay_factor,throughput,final_loss,switch_count,sync_event_count
2,1.3,2.5,7.906995630296795,-0.010502210272382613,0,0
2,1.3,3.5,7.906995630296795,0.007827194925282506,0,0
2,1.3,4.5,7.906995630296795,0.012340051747221012,0,0
2,1.5,2.5,7.906995630296795,0.015385230443881506,0,0
2,1.5,3.5,7.906995630296795,-0.0063943515356681266,0,0
2,1.5,4.5,7.906995630296795,-0.002224928252339593,0,0
2,1.8,2.5,7.906995630296795,0.01063424290925595,0,0
2,1.8,3.5,7.906995630296795,4.075932534134597e-05,0,0
2,1.8,4.5,7.906995630296795,0.007522239710164452,0,0
4,1.3,2.5,6.574806188979417,-0.00481003135144422,0,0
4,1.3,3.5,6.574806188979417,0.006801279038241832,0,0
4,1.3,4.5,6.574806188979417,-0.005143986288543878,0,0
4,1.5,2.5,6.574806188979417,-0.012489461617369699,0,0
4,1.5,3.5,6.574806188979417,0.0007758705417390051,0,0
4,1.5,4.5,6.574806188979417,0.007184195538108042,0,0
4,1.8,2.5,6.574806188979417,0.005503515648257772,0,0
4,1.8,3.5,6.574806188979417,-0.004899978717751151,0,0
4,1.8,4.5,6.574806188979417,0.00731603507668063,0,0
8,1.3,2.5,5.720931786661001,0.006721057784975715,1,0
8,1.3,3.5,5.720931786661001,0.007059126970106151,1,0
8,1.3,4.5,5.720931786661001,0.010868187480223638,1,0
8,1.5,2.5,5.14173390881551,-0.00033932361913389296,0,0
8,1.5,3.5,5.14173390881551,0.012095648442426136,0,0
8,1.5,4.5,5.14173390881551,-0.021357697538431263,0,0
8,1.8,2.5,5.14173390881551,0.021181750115970066,0,0
8,1.8,3.5,5.14173390881551,0.00550126400328933,0,0
8,1.8,4.5,5.14173390881551,-0.00605405008167646,0,0
